year,district_city,area_type,assault_on_women_with_intent_to_outrage_her_modesty_incidents_i,assault_on_women_with_intent_to_outrage_her_modesty_victims_v,assault_on_women_with_intent_to_outrage_her_modesty_r_crime_rate,assault_on_women_i,assault_on_women_v,assault_on_women_r,sexual_harassment_total_i,sexual_harassment_total_v,sexual_harassment_total_r,sh_at_work_premises_i,sh_at_work_premises_v,sh_at_work_premises_r,sh_in_public_transport_i,sh_in_public_transport_v,sh_in_public_transport_r,sh_in_shelter_homes_for_women_and_children_i,sh_in_shelter_homes_for_women_and_children_v,sh_in_shelter_homes_for_women_and_children_r,sh_in_other_places_i,sh_in_other_places_v,sh_in_other_places_r,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_i,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_v,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_r,voyeurism_i,voyeurism_v,voyeurism_r,stalking_i,stalking_v,stalking_r,rape_sec_376_i,rape_v,rape_r,attempt_to_commit_rape_sec_376_511_i,attempt_to_commit_rape_v,attempt_to_commit_rape_r
2026,Avadi,city,8,8,7.1,6,6,4.7,1,1,0.5,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,2,2,1.4,1,1,0.5,5,5,4.3,0,0,0.0
2026,Chennai,city,307,309,5.5,174,174,3.1,43,43,0.8,2,2,0.0,0,0,0.0,0,0,0.0,41,41,0.7,13,13,0.2,9,11,0.2,68,68,1.2,37,37,0.7,4,4,0.1
2026,Coimbatore City,city,43,43,4.1,41,41,3.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.2,11,11,1.1,0,0,0.0
2026,Madurai City,city,61,61,8.1,4,4,0.6,57,57,7.5,0,0,0.0,0,0,0.0,0,0,0.0,57,57,7.5,0,0,0.0,0,0,0.0,0,0,0.0,19,19,2.6,0,0,0.0
2026,Salem City,city,10,10,4.1,5,5,2.0,3,3,1.4,1,1,0.5,2,2,0.9,0,0,0.0,0,0,0.0,1,1,0.2,0,0,0.0,1,1,0.5,4,4,1.6,0,0,0.0
2026,Tambaram,city,15,15,6.7,9,9,4.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6,6,2.5,6,6,2.7,0,0,0.0
2026,Thirunelveli City,city,10,10,7.5,4,4,2.8,4,4,2.8,0,0,0.0,1,1,0.8,0,0,0.0,3,3,2.0,1,1,0.4,1,1,0.4,2,2,1.2,2,2,1.2,0,0,0.0
2026,Tiruppur City,city,4,4,3.0,3,3,2.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.8,1,1,0.8,0,0,0.0
2026,Trichy City,city,8,8,3.3,5,5,2.0,2,2,0.9,1,1,0.2,0,0,0.0,2,2,0.7,0,0,0.0,0,0,0.0,1,1,0.2,1,1,0.2,1,1,0.4,0,0,0.0
2026,Ariyalur,district,3,3,1.2,1,1,0.5,1,1,0.2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2,0,0,0.0,1,1,0.2,1,1,0.2,6,6,2.5,0,0,0.0
