year,district_city,area_type,assault_on_women_with_intent_to_outrage_her_modesty_incidents_i,assault_on_women_with_intent_to_outrage_her_modesty_victims_v,assault_on_women_with_intent_to_outrage_her_modesty_r_crime_rate,assault_on_women_i,assault_on_women_v,assault_on_women_r,sexual_harassment_total_i,sexual_harassment_total_v,sexual_harassment_total_r,sh_at_work_premises_i,sh_at_work_premises_v,sh_at_work_premises_r,sh_in_public_transport_i,sh_in_public_transport_v,sh_in_public_transport_r,sh_in_shelter_homes_for_women_and_children_i,sh_in_shelter_homes_for_women_and_children_v,sh_in_shelter_homes_for_women_and_children_r,sh_in_other_places_i,sh_in_other_places_v,sh_in_other_places_r,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_i,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_v,assault_or_use_of_criminal_force_on_women_with_intent_to_disrobe_sec_354b_ipc_r,voyeurism_i,voyeurism_v,voyeurism_r,stalking_i,stalking_v,stalking_r,rape_sec_376_i,rape_v,rape_r,attempt_to_commit_rape_sec_376_511_i,attempt_to_commit_rape_v,attempt_to_commit_rape_r
2023,Avadi,city,15,15,7.1,10,10,4.7,1,1,0.5,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,3,3,1.4,1,1,0.5,9,9,4.3,0,0,0.0
2023,Chennai,city,166,167,5.5,94,94,3.1,23,23,0.8,1,1,0.0,0,0,0.0,0,0,0.0,22,22,0.7,7,7,0.2,5,6,0.2,37,37,1.2,20,20,0.7,2,2,0.1
2023,Coimbatore City,city,23,23,4.1,22,22,3.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2,6,6,1.1,0,0,0.0
2023,Madurai City,city,44,44,8.1,3,3,0.6,41,41,7.5,0,0,0.0,0,0,0.0,0,0,0.0,41,41,7.5,0,0,0.0,0,0,0.0,0,0,0.0,14,14,2.6,0,0,0.0
2023,Salem City,city,18,18,4.1,9,9,2.0,6,6,1.4,2,2,0.5,4,4,0.9,0,0,0.0,0,0,0.0,1,1,0.2,0,0,0.0,2,2,0.5,7,7,1.6,0,0,0.0
2023,Tambaram,city,27,27,6.7,17,17,4.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,10,10,2.5,11,11,2.7,0,0,0.0
2023,Thirunelveli City,city,19,19,7.5,7,7,2.8,7,7,2.8,0,0,0.0,2,2,0.8,0,0,0.0,5,5,2.0,1,1,0.4,1,1,0.4,3,3,1.2,3,3,1.2,0,0,0.0
2023,Tiruppur City,city,7,7,3.0,5,5,2.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.8,2,2,0.8,0,0,0.0
2023,Trichy City,city,15,15,3.3,9,9,2.0,4,4,0.9,1,1,0.2,0,0,0.0,3,3,0.7,0,0,0.0,0,0,0.0,1,1,0.2,1,1,0.2,2,2,0.4,0,0,0.0
2023,Ariyalur,district,5,5,1.2,2,2,0.5,1,1,0.2,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.2,0,0,0.0,1,1,0.2,1,1,0.2,10,10,2.5,0,0,0.0
2023,Chengalpattu,district,15,15,1.2,15,15,1.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.4,0,0,0.0
2023,Coimbatore,district,13,13,1.0,13,13,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.4,0,0,0.0
2023,Cuddalore,district,50,50,3.6,6,6,0.4,12,12,0.9,0,0,0.0,12,12,0.9,0,0,0.0,0,0,0.0,12,12,0.9,10,10,0.7,10,10,0.7,13,13,0.9,0,0,0.0
2023,Dharmapuri,district,26,26,3.2,16,16,2.0,6,6,0.7,0,0,0.0,0,0,0.0,0,0,0.0,6,6,0.7,2,2,0.2,0,0,0.0,2,2,0.2,10,10,1.2,1,1,0.1
2023,Dindigul,district,33,33,2.9,11,11,1.0,21,21,1.8,0,0,0.0,0,0,0.0,0,0,0.0,21,21,1.8,0,0,0.0,1,1,0.1,0,0,0.0,9,9,0.8,0,0,0.0
